protein_name	target_gene	n_cells	mean_score	control_mean_score	effect_size_vs_control	p_value	q_value	direction	block_support	direction_stability
HLA_E	CTPS1	421	0.03485272451225758	0.004542059181427508	0.030310665330830072	0.29640012181572317	0.8478422089147429	up	0.6666666666666666	0.6666666666666666
HLA_E	CTSA	947	-0.0011991827201463569	0.004542059181427508	-0.005741241901573864	0.7594714706887815	0.9625636687285074	down	1.0	1.0
HLA_E	CTSB	1086	0.01909906426316076	0.004542059181427508	0.014557005081733252	0.4557125905851699	0.9205014075905328	up	0.6666666666666666	0.6666666666666666
HLA_E	CTSD	1217	0.0010429197085197192	0.004542059181427508	-0.0034991394729077885	0.8329907735564809	0.9625636687285074	down	0.3333333333333333	0.3333333333333333
HLA_E	CTSL	923	0.018133691176589965	0.004542059181427508	0.013591631995162457	0.4898482215906893	0.9220111589905085	up	0.3333333333333333	0.3333333333333333
HLA_E	CTSO	1050	0.0354972850699217	0.004542059181427508	0.03095522588849419	0.09245028812395109	0.6903494037381996	up	0.6666666666666666	0.6666666666666666
HLA_E	CXCR4	842	0.0017941060003432824	0.004542059181427508	-0.0027479531810842253	0.8903641655048689	0.9726791760832838	down	0.6666666666666666	0.6666666666666666
HLA_E	CYP27A1	946	-0.003824631339334672	0.004542059181427508	-0.00836669052076218	0.6612175187796585	0.9625636687285074	down	0.3333333333333333	0.3333333333333333
HLA_E	DAG1	849	-0.01479380760792512	0.004542059181427508	-0.01933586678935263	0.3298864344526332	0.8726028266166427	down	0.3333333333333333	0.3333333333333333
HLA_E	DDR1	892	0.028687791247788513	0.004542059181427508	0.024145732066361003	0.250242455429579	0.8478422089147429	up	0.6666666666666666	0.6666666666666666
HLA_E	DDX17	762	0.025265981913601767	0.004542059181427508	0.020723922732174258	0.31804640615892193	0.859773801264778	up	0.6666666666666666	0.6666666666666666
HLA_E	DDX39A	623	0.0005688078699224463	0.004542059181427508	-0.003973251311505062	0.8704395950775208	0.9726791760832838	down	0.6666666666666666	0.6666666666666666
HLA_E	DLL3	905	-0.0012710906425925732	0.004542059181427508	-0.005813149824020081	0.7677495777147403	0.9625636687285074	down	1.0	1.0
HLA_E	DNAJC9	46	0.02750440553995449	0.004542059181427508	0.02296234635852698	0.7724556692713529	0.9625636687285074	up	0.3333333333333333	0.3333333333333333
HLA_E	DNMT1	342	0.0372229306232903	0.004542059181427508	0.0326808714418628	0.32587741647965507	0.8713678744999472	up	0.6666666666666666	0.6666666666666666
HLA_E	E2F1	602	0.05594050882198244	0.004542059181427508	0.051398449640554934	0.04598885164466182	0.6654857355639299	up	1.0	1.0
HLA_E	EEA1	761	-0.023770427801300602	0.004542059181427508	-0.028312486982728112	0.16574044976064264	0.711544344759811	down	1.0	1.0
HLA_E	EEF1G	188	-0.027359811000991555	0.004542059181427508	-0.031901870182419065	0.41242122984722085	0.9058537727001459	down	0.6666666666666666	0.6666666666666666
HLA_E	EIF2S3	50	-0.030833512086702805	0.004542059181427508	-0.03537557126813031	0.6814092580712382	0.9625636687285074	down	0.6666666666666666	0.6666666666666666
HLA_E	EIF3K	778	0.07037440614820316	0.004542059181427508	0.06583234696677565	0.0041011181658556035	0.10088750688004784	up	1.0	1.0
HLA_E	EIF4A1	133	0.06298547715016756	0.004542059181427508	0.05844341796874005	0.3961993633973051	0.9058537727001459	up	1.0	1.0
HLA_E	EMP1	942	-0.007435586635848929	0.004542059181427508	-0.011977645817276436	0.5327872001870246	0.9220111589905085	down	0.6666666666666666	0.6666666666666666
HLA_E	ENPP1	848	0.010386293831876996	0.004542059181427508	0.005844234650449488	0.7716453394640415	0.9625636687285074	up	0.3333333333333333	0.3333333333333333
HLA_E	EVA1A	812	0.027177402356385903	0.004542059181427508	0.022635343174958397	0.2648767514380163	0.8478422089147429	up	1.0	1.0
HLA_E	FARSA	73	0.024997772758184236	0.004542059181427508	0.020455713576756726	0.7984148408675146	0.9625636687285074	up	0.3333333333333333	0.3333333333333333
HLA_E	FBL	327	-0.005445069718490057	0.004542059181427508	-0.009987128899917565	0.7382394147377078	0.9625636687285074	down	0.6666666666666666	0.6666666666666666
HLA_E	FBXO32	1037	-0.01036743680926016	0.004542059181427508	-0.014909495990687667	0.39953581900276103	0.9058537727001459	down	0.6666666666666666	0.6666666666666666
HLA_E	FGFR1	1182	0.009029307960853238	0.004542059181427508	0.00448724877942573	0.7901864190986883	0.9625636687285074	up	0.3333333333333333	0.3333333333333333
HLA_E	FKBP4	690	5.3964010417423834e-05	0.004542059181427508	-0.004488095171010084	0.8369234084860062	0.9625636687285074	down	0.3333333333333333	0.3333333333333333
HLA_E	FMN1	1015	0.023333490800907523	0.004542059181427508	0.018791431619480013	0.3088465396009138	0.8588417681013142	up	0.3333333333333333	0.3333333333333333
HLA_E	FOS	721	-0.027041128212206264	0.004542059181427508	-0.03158318739363377	0.16547403118394902	0.711544344759811	down	1.0	1.0
HLA_E	FOXM1	263	0.08461837925253225	0.004542059181427508	0.08007632007110474	0.03348366933199506	0.5883559039764846	up	1.0	1.0
HLA_E	FRZB	674	-0.02633831288976568	0.004542059181427508	-0.030880372071193186	0.1735474011609295	0.711544344759811	down	1.0	1.0
